sample_type,classifier,feature_set,feature,zero_proportion,corr_with_inactive_ratio,is_high_inactive,is_high_corr_with_inactivity,is_inactivity_related
person,Logistic Regression,manual_full,mean_activity_20,0.0,-0.243,False,False,False
person,Logistic Regression,manual_full,mean_activity_22,0.0,-0.373,False,False,False
person,Logistic Regression,manual_full,mean_activity_16,0.0,-0.346,False,False,False
person,Logistic Regression,manual_full,mean_activity_17,0.0,-0.262,False,False,False
person,Logistic Regression,manual_full,mean_activity_14,0.0,-0.392,False,False,False
person,Logistic Regression,manual_full,longest_inactivity,0.0,0.64,False,False,False
person,Logistic Regression,manual_full,inactive_ratio,0.0,,False,False,False
person,Logistic Regression,manual_full,mean_activity_23,0.0,-0.378,False,False,False
person,Logistic Regression,manual_full,12_hour_day_activity,0.0,-0.342,False,False,False
person,Logistic Regression,manual_full,IV,0.0,-0.202,False,False,False
person,Logistic Regression,manual_full,12_hour_night_activity,0.0,-0.403,False,False,False
person,Logistic Regression,manual_full,day_night_ratio,0.0,0.29,False,False,False
person,Logistic Regression,manual_full,mean_absolute_change_activity,0.0,-0.41,False,False,False
person,Logistic Regression,manual_full,IS,0.0,0.051,False,False,False
person,Logistic Regression,manual_full,daily_mean_activity_variance,0.0,-0.101,False,False,False
person,Logistic Regression,manual_full,RA,0.0,-0.027,False,False,False
person,Logistic Regression,manual_full,activity_night,0.0,-0.196,False,False,False
person,Logistic Regression,manual_full,activity_evening,0.0,-0.353,False,False,False
person,Logistic Regression,manual_full,activity_afternoon,0.0,-0.35,False,False,False
person,Logistic Regression,manual_full,activity_morning,0.0,-0.364,False,False,False
person,Logistic Regression,manual_full,inactive_night,0.0,0.788,False,True,True
person,Logistic Regression,automatic_all_candidates,inactive_morning,0.019,0.81,False,True,True
person,Logistic Regression,automatic_all_candidates,inactive_afternoon,0.019,0.806,False,True,True
person,Logistic Regression,automatic_all_candidates,inactive_evening,0.019,0.866,False,True,True
person,Logistic Regression,automatic_all_candidates,mean,0.0,-0.382,False,False,False
person,Logistic Regression,automatic_all_candidates,longest_inactivity,0.0,0.64,False,False,False
person,Logistic Regression,automatic_all_candidates,inactive_ratio,0.0,,False,False,False
person,Logistic Regression,automatic_all_candidates,sd,0.0,-0.377,False,False,False
person,Logistic Regression,automatic_all_candidates,12_hour_day_activity,0.0,-0.342,False,False,False
person,Logistic Regression,automatic_all_candidates,IV,0.0,-0.202,False,False,False
person,Logistic Regression,automatic_all_candidates,12_hour_night_activity,0.0,-0.403,False,False,False
person,Logistic Regression,automatic_all_candidates,day_night_ratio,0.0,0.29,False,False,False
person,Logistic Regression,automatic_all_candidates,mean_absolute_change_activity,0.0,-0.41,False,False,False
person,Logistic Regression,automatic_all_candidates,IS,0.0,0.051,False,False,False
person,Logistic Regression,automatic_all_candidates,daily_mean_activity_variance,0.0,-0.101,False,False,False
person,Logistic Regression,automatic_all_candidates,RA,0.0,-0.027,False,False,False
person,Logistic Regression,automatic_all_candidates,activity_night,0.0,-0.196,False,False,False
person,Logistic Regression,automatic_all_candidates,activity_evening,0.0,-0.353,False,False,False
person,Logistic Regression,automatic_all_candidates,activity_afternoon,0.0,-0.35,False,False,False
person,Logistic Regression,automatic_all_candidates,activity_morning,0.0,-0.364,False,False,False
person,Logistic Regression,automatic_all_candidates,inactive_night,0.0,0.788,False,True,True
person,Logistic Regression,automatic_positive_permutation,inactive_afternoon,0.019,0.806,False,True,True
person,Logistic Regression,automatic_positive_permutation,daily_mean_activity_variance,0.0,-0.101,False,False,False
person,Logistic Regression,automatic_positive_permutation,IS,0.0,0.051,False,False,False
person,Logistic Regression,automatic_positive_permutation,sd,0.0,-0.377,False,False,False
person,Logistic Regression,automatic_positive_permutation,activity_afternoon,0.0,-0.35,False,False,False
person,Logistic Regression,automatic_positive_permutation,mean,0.0,-0.382,False,False,False
person,Logistic Regression,automatic_positive_permutation,RA,0.0,-0.027,False,False,False
