sample_type,classifier,result_1,result_2,feature_set_1,feature_set_2,scoring_metric,mean_1,mean_2,mean_difference,std_difference,result_1_better_folds,result_2_better_folds,tied_folds
person,Decision Tree,DecisionTreeClassifier_base,DecisionTreeClassifier_select_from_model,base,select_from_model,balanced_accuracy,0.823,0.782,0.042,0.053,2,0,3
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_hourly_activity,activity_rhythm,hourly_activity,balanced_accuracy,0.517,0.754,-0.237,0.098,0,5,0
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_six_hour_bins,activity_rhythm,six_hour_bins,balanced_accuracy,0.517,0.685,-0.168,0.142,0,5,0
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_full,activity_rhythm,full,balanced_accuracy,0.517,0.726,-0.209,0.102,0,5,0
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_all_candidates,activity_rhythm,all_candidates,balanced_accuracy,0.517,0.782,-0.265,0.088,0,5,0
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_positive_permutation,activity_rhythm,positive_permutation,balanced_accuracy,0.517,0.782,-0.265,0.088,0,5,0
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_rfecv_selected,activity_rhythm,rfecv_selected,balanced_accuracy,0.517,0.873,-0.356,0.108,0,5,0
person,Decision Tree,DecisionTreeClassifier_activity_rhythm,DecisionTreeClassifier_select_from_model,activity_rhythm,select_from_model,balanced_accuracy,0.517,0.782,-0.265,0.088,0,5,0
person,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_six_hour_bins,hourly_activity,six_hour_bins,balanced_accuracy,0.754,0.685,0.069,0.136,4,1,0
person,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_full,hourly_activity,full,balanced_accuracy,0.754,0.726,0.028,0.138,3,2,0
person,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_all_candidates,hourly_activity,all_candidates,balanced_accuracy,0.754,0.782,-0.028,0.128,1,3,1
person,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_positive_permutation,hourly_activity,positive_permutation,balanced_accuracy,0.754,0.782,-0.028,0.128,1,3,1
person,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_rfecv_selected,hourly_activity,rfecv_selected,balanced_accuracy,0.754,0.873,-0.119,0.097,1,4,0
person,Decision Tree,DecisionTreeClassifier_hourly_activity,DecisionTreeClassifier_select_from_model,hourly_activity,select_from_model,balanced_accuracy,0.754,0.782,-0.028,0.128,1,3,1
person,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_full,six_hour_bins,full,balanced_accuracy,0.685,0.726,-0.04,0.227,2,3,0
person,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_all_candidates,six_hour_bins,all_candidates,balanced_accuracy,0.685,0.782,-0.096,0.195,2,3,0
person,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_positive_permutation,six_hour_bins,positive_permutation,balanced_accuracy,0.685,0.782,-0.096,0.195,2,3,0
person,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_rfecv_selected,six_hour_bins,rfecv_selected,balanced_accuracy,0.685,0.873,-0.188,0.157,1,4,0
person,Decision Tree,DecisionTreeClassifier_six_hour_bins,DecisionTreeClassifier_select_from_model,six_hour_bins,select_from_model,balanced_accuracy,0.685,0.782,-0.096,0.195,2,3,0
person,Decision Tree,DecisionTreeClassifier_full,DecisionTreeClassifier_all_candidates,full,all_candidates,balanced_accuracy,0.726,0.782,-0.056,0.081,0,2,3
person,Decision Tree,DecisionTreeClassifier_full,DecisionTreeClassifier_positive_permutation,full,positive_permutation,balanced_accuracy,0.726,0.782,-0.056,0.081,0,2,3
person,Decision Tree,DecisionTreeClassifier_full,DecisionTreeClassifier_rfecv_selected,full,rfecv_selected,balanced_accuracy,0.726,0.873,-0.148,0.14,0,3,2
person,Decision Tree,DecisionTreeClassifier_full,DecisionTreeClassifier_select_from_model,full,select_from_model,balanced_accuracy,0.726,0.782,-0.056,0.081,0,2,3
person,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_positive_permutation,all_candidates,positive_permutation,balanced_accuracy,0.782,0.782,0.0,0.0,0,0,5
person,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_rfecv_selected,all_candidates,rfecv_selected,balanced_accuracy,0.782,0.873,-0.092,0.076,0,3,2
person,Decision Tree,DecisionTreeClassifier_all_candidates,DecisionTreeClassifier_select_from_model,all_candidates,select_from_model,balanced_accuracy,0.782,0.782,0.0,0.0,0,0,5
person,Decision Tree,DecisionTreeClassifier_positive_permutation,DecisionTreeClassifier_rfecv_selected,positive_permutation,rfecv_selected,balanced_accuracy,0.782,0.873,-0.092,0.076,0,3,2
person,Decision Tree,DecisionTreeClassifier_positive_permutation,DecisionTreeClassifier_select_from_model,positive_permutation,select_from_model,balanced_accuracy,0.782,0.782,0.0,0.0,0,0,5
person,Decision Tree,DecisionTreeClassifier_rfecv_selected,DecisionTreeClassifier_select_from_model,rfecv_selected,select_from_model,balanced_accuracy,0.873,0.782,0.092,0.076,3,0,2
