sample type,classifier,result 1,result 2,feature set 1,feature set 2,scoring metric,mean 1,mean 2,mean difference,std difference,result 1 better folds,result 2 better folds,tied folds
person,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier all candidates,activity rhythm,all candidates,balanced accuracy,0.517,0.782,-0.265,0.088,0,5,0
person,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier positive permutation,activity rhythm,positive permutation,balanced accuracy,0.517,0.782,-0.265,0.088,0,5,0
person,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier rfecv selected,activity rhythm,rfecv selected,balanced accuracy,0.517,0.873,-0.356,0.108,0,5,0
person,Decision Tree,DecisionTreeClassifier activity rhythm,DecisionTreeClassifier select from model,activity rhythm,select from model,balanced accuracy,0.517,0.782,-0.265,0.088,0,5,0
person,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier six hour bins,hourly activity,six hour bins,balanced accuracy,0.754,0.685,0.069,0.136,4,1,0
person,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier full,hourly activity,full,balanced accuracy,0.754,0.726,0.028,0.138,3,2,0
person,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier all candidates,hourly activity,all candidates,balanced accuracy,0.754,0.782,-0.028,0.128,1,3,1
person,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier positive permutation,hourly activity,positive permutation,balanced accuracy,0.754,0.782,-0.028,0.128,1,3,1
person,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier rfecv selected,hourly activity,rfecv selected,balanced accuracy,0.754,0.873,-0.119,0.097,1,4,0
person,Decision Tree,DecisionTreeClassifier hourly activity,DecisionTreeClassifier select from model,hourly activity,select from model,balanced accuracy,0.754,0.782,-0.028,0.128,1,3,1
person,Decision Tree,DecisionTreeClassifier six hour bins,DecisionTreeClassifier full,six hour bins,full,balanced accuracy,0.685,0.726,-0.04,0.227,2,3,0
person,Decision Tree,DecisionTreeClassifier six hour bins,DecisionTreeClassifier all candidates,six hour bins,all candidates,balanced accuracy,0.685,0.782,-0.096,0.195,2,3,0
